index,retail_price
3076,535584.8633332674
3218,727006.9110509891
9213,919901.7585064563
10018,734323.5510485064
11355,626946.915409266
8028,663724.9368033002
7389,929256.3715462255
2591,679547.6245806066
485,534246.382229317
1251,386678.4264119299
3885,527674.9822548702
8472,454113.0882257774
10123,735555.781295035
430,892961.0834462881
8762,626107.2535961448
2880,692598.9283599618
9612,769370.5229051827
9144,643402.7411111967
2318,517741.88282210485
2071,882875.9850713318
334,583883.8116167709
734,361123.31184933026
3646,503945.339019679
1876,508250.0255280284
9555,673612.2881512964
1075,576077.2557752833
6856,1004646.662523239
10602,1140149.124075558
6212,795864.3675884516
10891,748363.5899626613
2731,585021.6200732491
6144,647462.601198968
1655,336207.1864523794
9013,475028.52499876055
2110,377338.56806004426
7622,830424.3492216697
5610,549472.9033052314
7326,885645.7747576198
4928,1049226.9828293996
5916,658190.9456689345
4320,639644.2162901091
3510,427612.0609926348
6878,728433.9627039654
2614,547845.1790047828
4329,570738.0860473653
2027,466217.14802574075
1960,502165.61577703967
3319,1010821.237134917
2536,382130.2447918516
1127,545821.9606504145
2501,540330.7919803056
1884,498408.42226480105
4438,554369.4995856115
8531,454310.8352527373
3851,482588.6601080069
8587,614729.4222020073
5525,517148.64174122503
2850,1033317.0558119161
4593,616310.0671088378
8299,1111078.9798035999
2230,456635.125870975
3522,427612.0609926348
7237,705691.7232947248
8569,460395.245003726
9133,559952.1644252585
104,592931.5011516463
2030,353654.6729096221
7086,678403.9648831039
4906,730216.611567117
6355,718945.0310304011
151,642017.1806136284
66,514228.1844215952
10184,901222.0418026849
7184,878526.8817870623
87,591349.5249359668
3444,375649.0096780941
4165,493069.252536883
5102,1082007.2412199783
6890,610529.6552422307
3605,480459.1908962168
6120,911748.3823163301
7366,698375.0832972075
4520,684445.5521698357
11135,553382.0957596608
4667,697340.6000776389
3478,407837.35829664214
10659,1035887.7671623953
5185,832603.8234475901
4742,730170.8634823479
2627,666298.5737742914
6232,791426.6937551562
8466,442643.7606621016
10340,802150.7812957613
4959,888063.155857059
6251,758687.9265199852
7214,590802.0319398561
7777,854947.906185213
2635,393401.8253285674
5422,499047.4114304499
5339,380943.76263009204
8424,454113.0882257774
3937,507105.03452167654
1039,375011.3518212942
1990,498012.9282108812
5273,1280151.093542674
10130,1079744.7846832424
3405,1130853.6824995927
2782,598365.0926696147
6913,767897.7231674372
8034,1245592.7062211195
871,536573.598468067
7648,849456.7375151041
1898,485554.86551240575
448,380152.7745222523
5937,635799.7835376936
4576,610377.65630004
3254,1263788.3583219452
7002,710745.9067555061
1842,357959.3594179714
8690,485357.11848544586
4660,766556.3164429745
7438,980015.5233934252
412,418317.9507255182
10431,505922.80928927835
2310,484231.139096339
4017,518928.36498386436
8144,1652561.9389456743
6831,732341.8238495459
142,525499.7649583111
1033,543053.5022729755
3416,352072.69669394265
5263,1184839.952168502
5701,475621.76607964037
11222,382966.9809844604
8836,472701.3087600105
2943,773477.4623865719
7256,804477.9975345115
8327,574980.938474213
8816,354749.6589018435
3552,483227.6492736557
727,531234.428740149
1736,399881.7291334759
5917,497221.9401030415
2086,554127.3357827314
4781,592778.1709006064
11542,434685.2058784231
7005,682316.0829580456
4860,658582.1827934931
11136,524906.5238774313
2284,515367.5871897368
10725,881496.0128119736
6507,797800.3467026431
10451,538748.8157646261
9778,651966.3660431262
8678,663574.5321727727
8447,520997.33142300183
5657,518335.12390298466
5765,617300.1335524863
6740,906651.3763912922
1070,516555.4006603452
621,569201.857916455
665,371603.90427820635
1425,861672.6364106996
6597,768883.5326817246
586,937656.1684685928
1106,455250.89668225555
4175,748458.0117527117
681,461231.98119633476
8487,507109.29145103786
5402,527325.2362857196
2456,610773.1503539598
3530,520997.33142300183
11844,523568.0427734809
247,913724.5212770804
9969,732346.080778907
7023,751526.2110851712
11422,381734.75073793175
2911,491487.2763212036
10469,831616.682624454
330,605541.5627923125
9137,485752.6125393657
1112,632480.9065436317
10852,997086.5274139928
7393,1177815.480987995
8071,999942.2250316087
8329,530245.6936053493
7756,682668.7545477087
6815,778664.6331722991
7625,623384.543303475
2785,560896.4827841381
3047,698485.5910839905
5126,1444966.1261726464
2852,738476.2386146649
1285,474283.28497568995
2444,644941.8948626193
4251,693389.9164678014
9869,826123.9196426816
11512,489312.05902464443
7826,750140.3875847883
11741,503504.0968809901
10507,1132193.494912392
5607,573156.7984556535
2937,713362.3661907541
6818,807444.2029389105
7066,662781.9497532696
11436,617497.8805794462
6508,1213268.4446571134
11662,458463.52281889576
4973,955297.1450234342
8020,1003106.1774629675
5412,403091.42964960384
6421,601084.8773417723
3938,456927.29468798544
996,685677.7824163644
9971,891486.6893968793
111,782777.4238947133
8852,699276.5791918302
7423,944618.8055675982
10832,930838.3477619049
986,462616.21038505423
2960,519566.0228406643
6982,720629.0011741411
3774,433148.9777475128
10100,803884.7564536316
6118,497221.9401030415
3961,576213.1687207416
1809,460045.4990345752
11482,642018.5119224772
4938,1354749.065102999
8175,1180731.6813782635
10140,876502.3321238451
6289,661354.8981002932
9057,585812.6081810888
4010,552207.4426652725
3408,1295622.7040419811
11661,566280.0692879763
5144,1169262.3538145875
8079,1076275.5030586529
