index,rooms,retail_price,address,city,sqft,toilets,image_id
5832,2.0,299000,81913 Calle Torbellino,"Indio, CA",1295.0,2.0,5832
5584,3.0,299000,26076 Fiesta Place,"Hemet, CA",1566.0,2.0,5584
9408,5.0,499990,34450 Fawn Ridge Place,"Yucaipa, CA",3068.0,3.0,9408
4644,4.0,849900,26481 Montebello Place,"Mission Viejo, CA",2230.0,2.1,4644
5739,3.0,333490,2562 Red Spruce Lane,"San Jacinto, CA",1898.0,2.0,5739
10908,5.0,1600000,3445 Trumbull St,"San Diego, CA",3128.0,3.0,10908
11496,,449000,1009 Caminito Estrella,"Chula Vista, CA",940.0,2.1,11496
7472,3.0,719000,44834 Doral Drive,"Indian Wells, CA",2855.0,3.0,7472
9082,4.0,449000,2250 John Matich Drive,"Colton, CA",1943.0,2.1,9082
10157,3.0,695000,261 State Hwy 173,"Lake Arrowhead, CA",2946.0,2.0,10157
8515,2.0,265000,134 E 9th Street,"San Bernardino, CA",800.0,1.0,8515
11793,3.0,499000,1379 Donax Ave,"San Diego, CA",1250.0,2.0,11793
8655,5.0,299000,25758 E 26th Street,"San Bernardino, CA",1548.0,2.0,8655
2237,4.0,645000,19385 Springport Drive,"Rowland Heights, CA",1507.0,3.0,2237
2392,3.0,699999,8011 Comanche Avenue,"Winnetka, CA",1733.0,2.0,2392
10986,5.0,1650000,1324 Shorebird,"Carlsbad, CA",3769.0,3.1,10986
3398,5.0,1545000,2801 Corte Esmeralda,"San Clemente, CA",3418.0,3.1,3398
11413,2.0,394900,4538 Golden Ridge Dr,"Oceanside, CA",873.0,1.0,11413
4797,4.0,915000,28 Baudin Circle,"Ladera Ranch, CA",2308.0,2.1,4797
5396,2.0,239999,16 Carolyn Court,"Perris, CA",1536.0,2.0,5396
5458,2.0,249000,78 Ensenada Drive,"Perris, CA",1200.0,2.0,5458
1220,3.0,389900,7007 River Drive,"Bell, CA",771.0,1.0,1220
2841,3.0,799000,10414 Kimbark Avenue,"Whittier, CA",2297.0,3.0,2841
975,,345000,40001 92nd Street W,"Leona Valley, CA",810.0,1.0,975
7968,3.0,995000,74141 Desert Tenaja Trail,"Indian Wells, CA",2498.0,3.1,7968
1897,4.0,560000,11850 Nava Street,"Norwalk, CA",1209.0,2.0,1897
2121,4.0,619900,11801 Gager Street,"Sylmar, CA",1783.0,2.0,2121
600,4.0,1825000,2224 BEVERLY GLEN Place,"Los Angeles, CA",3096.0,4.0,600
1100,3.0,337900,3141 W Avenue L8,"Lancaster, CA",1704.0,2.0,1100
390,2.0,1325000,3760 ROSEWOOD Avenue,"Los Angeles, CA",1274.0,1.1,390
9450,4.0,450000,4162 Sierra Vista Drive,"Chino Hills, CA",1102.0,2.0,9450
3629,2.0,399000,8071 Worthy Drive,"Westminster, CA",900.0,1.0,3629
936,3.0,299990,37744 Grant Court,"Palmdale, CA",1232.0,2.0,936
940,3.0,310000,39320 Willowvale Road,"Palmdale, CA",1132.0,2.0,940
3912,4.0,599000,283 N Spruce Drive,"Anaheim, CA",1464.0,1.1,3912
777,4.0,299900,45834 Evelyn Court,"Lancaster, CA",1905.0,3.0,777
4250,4.0,725000,11272 Palmwood Drive,"Garden Grove, CA",1791.0,2.0,4250
11444,2.0,379900,9500 Harritt Rd,"Lakeside, CA",1440.0,2.0,11444
1725,3.0,550000,1733 E Autumn Drive,"West Covina, CA",1232.0,2.0,1725
10618,5.0,1000000,101 CEDAR RIDGE Drive,"Lake Arrowhead, CA",4052.0,3.1,10618
5329,3.0,250000,64599 Brae Burn Avenue,"Desert Hot Springs, CA",1382.0,2.0,5329
8170,5.0,1199000,2351 Park Boulevard,"Upland, CA",6054.0,4.1,8170
6315,3.0,448000,13475 Barker Lane,"Corona, CA",1739.0,2.0,6315
