,index,rooms,retail_price,sqft,pca1,pca2
0,5832,2.0,299000,1295.0,-2.5878457522125147,-3.7483824140151674
1,5584,3.0,299000,1566.0,-2.1291449979636647,-3.325029790090615
2,9408,5.0,499990,3068.0,1.0261778648467468,-3.3876446012224357
3,4644,4.0,849900,2230.0,-4.221012403419115,0.77335794660391
4,5739,3.0,333490,1898.0,-2.6443581384796895,-3.467029870771544
5,10908,5.0,1600000,3128.0,-3.3344155482330526,5.7291504750980105
6,11496,,449000,940.0,-1.0470586276797857,-1.8932373367042568
7,7472,3.0,719000,2855.0,3.762739836835457,0.3262363118726105
8,9082,4.0,449000,1943.0,-4.727476229721368,7.531602386641466
9,10157,3.0,695000,2946.0,-2.5906340987242924,-0.4829224820360606
10,8515,2.0,265000,800.0,-0.45276847668258896,-0.7291712701097736
11,11793,3.0,499000,1250.0,-1.5834891635254216,-4.324002662104562
12,8655,5.0,299000,1548.0,-1.9597243988271398,2.805156867235157
13,2237,4.0,645000,1507.0,-0.45141427588630545,-3.945053944214289
14,2392,3.0,699999,1733.0,-4.323240297732278,-2.262853165609018
15,10986,5.0,1650000,3769.0,-0.6348967516515474,-3.926535081263105
16,3398,5.0,1545000,3418.0,-2.5743525552252144,-0.855350902849612
17,11413,2.0,394900,873.0,1.7085644967560405,2.1838352506116916
18,4797,4.0,915000,2308.0,-7.613185218139994,75.49768600753947
19,5396,2.0,239999,1536.0,0.05616471378782839,0.16409373354808887
20,5458,2.0,249000,1200.0,-2.3615551594796496,-0.6655518162075407
21,1220,3.0,389900,771.0,-0.8577996021802294,-0.759257275583795
22,2841,3.0,799000,2297.0,3.5553110316968404,1.619785468161815
23,975,,345000,810.0,-0.8066767099897358,1.2177260331522102
24,7968,3.0,995000,2498.0,0.8543889278638708,1.5275690359691372
25,1897,4.0,560000,1209.0,2.8320693474405836,0.15086245817702257
26,2121,4.0,619900,1783.0,-1.5808970249714676,-4.473014381017629
27,600,4.0,1825000,3096.0,1.0370375561126886,-0.9590723903956399
28,1100,3.0,337900,1704.0,-0.6381537899142581,-0.7476101827372307
29,390,2.0,1325000,1274.0,0.24113679391567466,-1.367167787332714
30,9450,4.0,450000,1102.0,-7.032177645174562,2.2418916958001467
31,3629,2.0,399000,900.0,-0.7326024554554464,-4.965605728116767
32,936,3.0,299990,1232.0,-2.659388131713588,-0.7335777005076416
33,940,3.0,310000,1132.0,-2.786594792872025,-0.9596992458404197
34,3912,4.0,599000,1464.0,0.3011421052077591,-5.100606797938061
35,777,4.0,299900,1905.0,-1.3982821019800171,0.14854366044079836
36,4250,4.0,725000,1791.0,0.11441050756478538,3.8747719843288233
37,11444,2.0,379900,1440.0,-1.4322787360559572,0.7741316937375544
38,1725,3.0,550000,1232.0,-0.49016497628540895,3.63706356202804
39,10618,5.0,1000000,4052.0,-3.3113363708292773,0.3315785488072329
40,5329,3.0,250000,1382.0,4.582414824986505,3.3189776367873787
41,8170,5.0,1199000,6054.0,-0.26905622512146204,-2.049890124325155
42,6315,3.0,448000,1739.0,-4.202402119217452,-2.2190218097254566
43,1235,3.0,399990,1211.0,-4.159829425325396,0.1870265392120694
44,55,3.0,233000,1499.0,-2.2493730169385224,5.795770904929405
45,8952,5.0,370000,3069.0,-1.4589550956807869,1.427992325212804
46,3139,4.0,1380000,2502.0,-0.4543102855241631,-4.861095109629245
47,4483,4.0,789000,2271.0,-2.69498087061303,-7.2834416101952915
48,8614,3.0,270000,1088.0,-1.4153155009147582,-5.413832911966006
49,1353,2.0,405000,768.0,1.0595992489563977,-0.10157894936692485
50,1751,3.0,549000,1245.0,-3.269291195336976,2.4152435917018957
51,8552,3.0,265000,1400.0,-2.866428933458594,-1.2031486354367344
52,4580,3.0,811888,1913.0,-1.5912583521151058,0.0497081928839897
53,2379,3.0,674990,1614.0,-0.8937234989455949,-2.1060592181764126
54,10357,4.0,745000,2777.0,1.677538533530493,1.7575470080504598
55,3191,4.0,1199000,3255.0,-2.425471252498669,1.7092404570453192
56,828,4.0,285000,1873.0,1.938529292146453,-3.988248475660061
57,10146,3.0,683900,1954.0,-1.844826348767882,1.68773465177579
58,11335,2.0,315000,994.0,-4.046547094001199,1.9344798232602607
59,2716,3.0,785000,1145.0,-2.541796119003902,0.4869329105831559
60,5040,5.0,1090000,5003.0,-1.6144375435764853,-4.589972531038359
61,1928,4.0,598000,1336.0,0.7557268127561778,2.1348425969427365
62,417,3.0,1299990,2074.0,-0.3575160760984608,-0.4983928158786435
63,2238,4.0,699900,1552.0,2.1439373289341424,0.747965627754295
64,5528,4.0,279000,1433.0,-1.7838616389339785,-0.24312090564105066
65,8434,3.0,239900,1377.0,-1.5456785325549425,-5.1800346791637555
66,8884,4.0,350000,1728.0,1.3119620496461204,-3.6243264487596196
67,1357,3.0,410000,1224.0,-1.0678389615971633,1.4740136336413143
68,7362,5.0,725000,3668.0,-2.3443929853438887,0.4447979060800509
69,9350,3.0,449900,1754.0,-3.683074010092243,-8.492339925837449
70,1666,3.0,449900,955.0,-1.7550570776785783,3.27911202016303
71,4364,2.0,749000,1095.0,0.11691733984856029,-4.350507717178107
72,8693,5.0,314500,2042.0,0.5127915041735382,-0.5466005932214102
73,951,2.0,350000,620.0,23.377206418557268,-0.06884953123055002
74,608,4.0,1719000,2906.0,3.933225948155647,-7.264466811390035
75,6713,4.0,570000,2624.0,-2.139562411701836,0.08714039247086602
76,9501,4.0,499000,,0.3336070744214066,-1.6594346688248118
77,10675,5.0,945000,3527.0,-0.6751534880462404,2.8615059569937347
78,3502,2.0,249000,1100.0,4.418106567202038,1.5726471731520146
79,4039,2.0,700000,1864.0,-1.2012914112111677,2.4274015676787175
80,3540,2.0,249000,1200.0,-2.99683296964266,-6.241950430552728
81,5417,2.0,210000,1152.0,-1.941855886315357,-3.752854131986182
82,10064,5.0,674999,4146.0,-4.687826535028979,-0.7189248882763419
83,4151,5.0,685000,2073.0,0.38406536076420944,0.42110456148113323
84,9513,3.0,530690,1851.0,-1.4906672832913732,-1.9233794197048666
85,5645,,295000,1895.0,-2.7936603568862335,-2.7970341678512103
86,11152,2.0,215000,1615.0,-2.9813473422805803,-0.5701550381018199
87,4553,3.0,829900,1746.0,-3.146132821910009,-4.981956264242128
88,418,3.0,1250000,2728.0,-1.20001664401118,0.7478018929609942
89,8306,2.0,220000,896.0,-4.486264087137428,-1.791599092250178
90,2840,3.0,819999,2057.0,0.1816501430026286,-2.6013723967281246
91,9491,3.0,528000,8720.0,0.051263465823206525,-2.5255281235753992
92,4418,,749000,2172.0,-1.4359853026251197,-2.5524053159423765
93,8123,4.0,1499995,3319.0,-0.9182107314486803,-2.7889265256163416
94,3110,3.0,998800,1800.0,-3.352157657482361,0.7450723044768859
95,9394,4.0,505000,1716.0,-0.07561120946280014,3.500387220070845
96,3252,5.0,1495000,4200.0,-1.533621265077917,5.848393865294845
97,5884,3.0,308000,1962.0,-0.9256717434487483,0.9210320895763665
98,9147,4.0,399000,2313.0,-2.7300000183169955,-1.577306978880614
99,9731,4.0,587000,3008.0,1.90297267107562,-3.096101366173486
100,9243,3.0,399900,1566.0,3.5198825259990083,-1.97089329333986
101,11165,3.0,250000,1680.0,-1.185495495475222,0.9087253630804388
102,11192,3.0,249000,2720.0,-2.871049604262009,2.086037569524879
103,1654,3.0,499900,1230.0,0.3372827757519391,1.3603001110562758
104,3436,2.0,239900,750.0,-0.2655855311658447,-1.8321254869424584
105,11038,4.0,1749000,4461.0,-4.022648331070198,-1.5697948130462516
106,7950,3.0,999888,3202.0,-0.505887483334064,2.2273756878327706
107,26,3.0,235000,1760.0,-0.9621320094388756,-4.579010719823865
108,5432,2.0,249900,1538.0,2.214738392753877,5.845223636061251
109,3577,2.0,338800,850.0,-1.817729154057407,1.1245070296377642
110,5561,,279000,799.0,-3.796499624822339,1.1785660416568715
111,5814,4.0,350000,1633.0,-0.7238177489503792,0.18466251864491057
112,6887,5.0,555000,3325.0,-8.209005763638608,28.123967145984146
113,3995,3.0,699900,1842.0,-0.5471562702307102,0.8439448041969742
114,10155,5.0,669500,3108.0,-2.50485962273477,-5.084626214758744
115,5007,4.0,1329000,4243.0,-1.3514348376581249,-0.6509366416522939
116,2753,5.0,898000,2931.0,-3.1019919307724573,2.0817766025688424
117,11986,3.0,530000,920.0,-2.1992017895836145,0.12171409579806262
118,8067,,945000,3380.0,-2.0608326181297296,2.6028055955720575
119,11914,4.0,550000,2562.0,0.5190289254820547,-0.5102463942606652
120,6886,4.0,549900,3083.0,-7.589875561098136e-06,-0.9977952741698703
121,684,3.0,229900,936.0,0.9572280510881779,1.853804443620493
122,10377,5.0,776000,3480.0,-0.9402004074868608,2.7876060699772136
123,651,3.0,219900,1590.0,-1.4441941344458236,-4.342269275733526
124,11892,5.0,555000,,-2.883090917679371,0.07858413107724616
125,197,6.0,339900,2608.0,0.2572251219333342,3.3972207420800316
126,2611,3.0,747950,1853.0,-0.5486560415881753,-1.4944474856975636
127,5204,4.0,1895000,3314.0,1.956871480677901,1.4413486490057963
128,8390,3.0,215000,1332.0,-2.918434532189512,0.6239704866983414
129,3289,5.0,1599000,4785.0,-1.9785566100072374,-6.443330534758507
130,5738,3.0,349290,1573.0,-0.36058822512641725,-1.3391672930895195
131,437,,1099000,2619.0,1.249335182975301,5.224614929281168
132,7805,5.0,899990,4442.0,-3.0150355407804743,-1.3577775392548652
133,3561,2.0,329000,1324.0,-4.991080971346473,-1.9997321529161576
134,2739,4.0,799000,1461.0,-1.7783484800430378,3.204021504537986
135,9464,4.0,459000,3000.0,-1.2107097642368851,-9.751570568049234
136,8759,5.0,345000,2607.0,-2.1937245139368606,-0.6786442075129462
137,7982,3.0,909000,2635.0,-0.851733723186493,2.024137601544848
138,3031,4.0,998000,2417.0,-0.6568099346235579,0.6864669133320336
139,5728,3.0,299000,968.0,-0.8510221083651964,0.343442314614236
140,5391,3.0,195000,1584.0,3.2396409679108817,-2.428757447157951
